cnt,gx,gy,gz,ax,ay,az
4312,54,30,-754,-1071,-560,15929
4313,118,-940,480,-1073,-575,15956
4314,-104,-74,238,-1058,-583,15953
4315,44,-280,-384,-1070,-550,15976
4316,256,272,-604,-1093,-595,15868
4317,-94,-202,400,-1075,-564,15942
4318,-26,-144,-62,-1097,-576,15970
4319,-40,-340,-580,-1064,-537,15899
4320,-252,-768,-188,-1092,-539,15946
4321,76,-536,308,-1094,-598,15963
4322,56,344,-304,-1065,-558,15902
4323,-342,-374,30,-1047,-562,15975
4324,54,18,-154,-1070,-565,15934
4325,244,-108,-84,-1080,-570,15897
4326,144,-488,-614,-1033,-545,15903
4327,-60,-62,66,-1088,-577,15962
4328,8,6,-430,-1057,-568,15978
4329,8,-490,54,-1073,-609,15882
4330,76,318,-246,-1071,-572,15937
4331,-162,42,-176,-1082,-578,15923
4332,30,-190,562,-1111,-603,15949
4333,-162,308,-176,-1065,-553,15946
4334,-48,-86,-268,-1068,-570,15888
4335,64,-212,-166,-1040,-575,15865
4336,234,124,676,-1101,-583,15920
4337,-308,-1160,192,-1051,-571,15938
4338,30,-328,-522,-1095,-561,15941
4339,112,112,-212,-1097,-549,15938
4340,-262,422,666,-1108,-547,15891
4341,-26,-294,-166,-1060,-592,15929
4342,-252,-456,-396,-1115,-577,15963
4343,-14,-340,8,-1082,-544,15933
4344,-26,-606,66,-1110,-579,15936
4345,234,562,296,-1049,-582,15916
4346,-4,226,42,-1071,-544,15879
4347,76,574,-108,-1083,-552,15907
4348,20,110,526,-1087,-573,15926
4349,76,-142,-62,-1080,-567,15912
4350,-218,-744,30,-1060,-553,15929
4351,278,204,146,-1111,-596,15944
4352,234,-74,76,-1085,-541,15878
4353,178,284,-662,-1082,-552,15968
4354,-116,-872,320,-1097,-591,15971
